"database","pathway_key","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","NES_human_KD","NES_mouse_KD","padj_human_KD","padj_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","leading_edge_human_KD","leading_edge_mouse_KD","pathway_name","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"Reactome","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane","R-HSA-190840","R-MMU-190840","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane",-1.88039735273384,1.98607271075239,0.0194674273359285,0.00363018354294996,-1.71069143767531,2.44007141637568,TRUE,TRUE,"80086/10382/347688/7277","14609/22142/67951/22143/227613/22146/22152","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane",-3.86647006348623,3.86647006348623,"opposite direction"
"Reactome","Gluconeogenesis","R-HSA-70263","R-MMU-70263","Gluconeogenesis","Gluconeogenesis",-1.96426273610022,1.79756550572888,0.00438770856212244,0.0429840204022832,-2.35776222659993,1.36669296630227,TRUE,TRUE,"5230/2026/5091/230/2027","74551/68401/14751/11674/14433/13808/21991","Gluconeogenesis",-3.7618282418291,3.7618282418291,"opposite direction"
"Reactome","Cross-presentation of soluble exogenous antigens (endosomes)","R-HSA-1236978","R-MMU-1236978","Cross-presentation of soluble exogenous antigens (endosomes)","Cross-presentation of soluble exogenous antigens (endosomes)",-2.27704366093387,1.48348017979168,6.00506037821972e-05,0.272448362285023,-4.22148262160065,0.564715798340585,TRUE,FALSE,"5702/5699/5692/5687/5704/5690/10213/9902/5719/5685/5720/5684/5718/11047/7979/5694/5717/5689/5701/5686/5709/5691/5707","19171/17534/19186/26444/16913/19188/59029/19181/16912/19167/19173/67089/17463/22123/26441/19170/70247","Cross-presentation of soluble exogenous antigens (endosomes)",-3.76052384072555,3.76052384072555,"opposite direction"
"Reactome","Transport of connexons to the plasma membrane","R-HSA-190872","R-MMU-190872","Transport of connexons to the plasma membrane","Transport of connexons to the plasma membrane",-1.7528308511138,1.98607271075239,0.0255257622805653,0.00363018354294996,-1.59302127963087,2.44007141637568,TRUE,TRUE,"80086/10382/347688/7277","14609/22142/67951/22143/227613/22146/22152","Transport of connexons to the plasma membrane",-3.73890356186619,3.73890356186619,"opposite direction"
"Reactome","Amplification of signal from the kinetochores","R-HSA-141424","R-MMU-141424","Amplification of signal from the kinetochores","Amplification of signal from the kinetochores",1.92026048812139,-1.66587398827837,0.0003233651264945,0.0368310977635968,3.49030681865242,-1.43378533665506,TRUE,TRUE,"54908/11130/701/1063/8379/80152/348235/332/55746/147841/57082/55143/79172/699/6232/25936/25909/79980/151246/55055/83540/348995/79682/5527/220134/2491/57405/1060/64946/55839/1058/57122/3619/991/9735/55166/5905/23421/81930/151648/91687/1062/23279/4085/54820/9212","13424/269966/67139/103573/236930/52504/18221/56430/66977/26951/68549/107995/83431/76499/12237/228421/66934/52696/75786/12235/229841/68097/21770/26932/66140/70385/52276/16319/108000/12236/19387","Amplification of signal from the kinetochores",3.58613447639976,3.58613447639976,"opposite direction"
"Reactome","Amplification of signal from unattached kinetochores via a MAD2 inhibitory signal","R-HSA-141444","R-MMU-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",1.92026048812139,-1.66587398827837,0.0003233651264945,0.0368310977635968,3.49030681865242,-1.43378533665506,TRUE,TRUE,"54908/11130/701/1063/8379/80152/348235/332/55746/147841/57082/55143/79172/699/6232/25936/25909/79980/151246/55055/83540/348995/79682/5527/220134/2491/57405/1060/64946/55839/1058/57122/3619/991/9735/55166/5905/23421/81930/151648/91687/1062/23279/4085/54820/9212","13424/269966/67139/103573/236930/52504/18221/56430/66977/26951/68549/107995/83431/76499/12237/228421/66934/52696/75786/12235/229841/68097/21770/26932/66140/70385/52276/16319/108000/12236/19387","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",3.58613447639976,3.58613447639976,"opposite direction"
"Reactome","Metabolism of polyamines","R-HSA-351202","R-MMU-351202","Metabolism of polyamines","Metabolism of polyamines",-2.32493067514805,1.20628034186498,2.49570661479088e-05,0.538982829251286,-4.6028064698976,0.268425070212518,TRUE,FALSE,"5687/4953/4947/5704/51582/5690/10213/5719/5685/5684/6303/5718/11047/7979/5694/5717/5689/5701/196743/113451/5686/5709/54498/5691/5707","18263/26444/228608/59029/20810/18247/19181/18104/19167/19173/67089/17463/22123/26441/19170/70247","Metabolism of polyamines",-3.53121101701303,3.53121101701303,"opposite direction"
"Reactome","Regulation of ornithine decarboxylase (ODC)","R-HSA-350562","R-MMU-350562","Regulation of ornithine decarboxylase (ODC)","Regulation of ornithine decarboxylase (ODC)",-2.34360405307854,1.18313853366364,2.5128020267419e-05,0.59719790779971,-4.59984172632204,0.22388172243501,TRUE,FALSE,"5687/4953/4947/5704/51582/5690/10213/5719/5685/5684/5718/11047/7979/5694/5717/5689/5701/5686/5709/5691/5707","18263/26444/59029/18247/19181/18104/19167/19173/67089/17463/22123/26441/19170/70247","Regulation of ornithine decarboxylase (ODC)",-3.52674258674218,3.52674258674218,"opposite direction"
"Reactome","Gap junction assembly","R-HSA-190861","R-MMU-190861","Gap junction assembly","Gap junction assembly",-1.60964804609168,1.87574388491157,0.0756090175029796,0.0223778755942561,-1.12142640531573,1.65018114486236,FALSE,TRUE,"81027/10376/2705/2697/7278/7846/2709/127534/7280/80086/10382/347688/7277","14609/22142/67951/22143/227613/22146/22152","Gap junction assembly",-3.48539193100325,3.48539193100325,"opposite direction"
"Reactome","Antigen processing: Ub, ATP-independent proteasomal degradation","R-HSA-9912633","R-MMU-9912633","Antigen processing: Ub, ATP-independent proteasomal degradation","Antigen processing: Ub, ATP-independent proteasomal degradation",-1.82597897317011,1.64413587593451,0.0127493782769375,0.203327404905738,-1.8945109930715,0.691804082270825,TRUE,FALSE,"5699/5692/5687/5690/5685/5720/5684/5694/5689/5686/5691","19171/19186/26444/16913/19188/16912/19167/19173","Antigen processing: Ub, ATP-independent proteasomal degradation",-3.47011484910462,3.47011484910462,"opposite direction"
